NOME_UNIDADE_ENSINO;ACAO_ORCAMENTARIA;NATUREZA_RECURSO;VALOR_TOTAL_DISP_MATRIZ_ORÇ
26256 - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 2.000.000,00 
26257 - Centro Federal de Educação Tecnológica de Minas Gerais;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;3 - Outras Despesas Correntes; R$ 200.000,00 
26257 - Centro Federal de Educação Tecnológica de Minas Gerais;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 1.410.679,00 
26402 - Instituto Federal de Alagoas;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 16.636.633,00 
26403 - Instituto Federal do Amazonas;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 24.500.000,00 
26404 - Instituto Federal Baiano;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;3 - Outras Despesas Correntes; R$ 900.000,00 
26404 - Instituto Federal Baiano;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 1.100.923,00 
26405 - Instituto Federal do Ceará;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;3 - Outras Despesas Correntes; R$ -   
26405 - Instituto Federal do Ceará;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 2.188.909,00 
26406 - Instituto Federal do Espírito Santo;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;3 - Outras Despesas Correntes; R$ 100.000,00 
26406 - Instituto Federal do Espírito Santo;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 23.725.131,00 
26406 - Instituto Federal do Espírito Santo;6380 - Fomento ao Desenvolvimento da Educação Profissional e Tecnológica;3 - Outras Despesas Correntes; R$ 1.200.000,00 
26407 - Instituto Federal Goiano;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 4.215.440,00 
26408 - Instituto Federal do Maranhão;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 2.113.615,00 
26409 - Instituto Federal de Minas Gerais;6380 - Fomento ao Desenvolvimento da Educação Profissional e Tecnológica;3 - Outras Despesas Correntes; R$ 2.172.368,00 
26409 - Instituto Federal de Minas Gerais;6380 - Fomento ao Desenvolvimento da Educação Profissional e Tecnológica;4 - Investimentos; R$ 550.485,00 
26410 - Instituto Federal do Norte de Minas Gerais;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 4.425.923,00 
26410 - Instituto Federal do Norte de Minas Gerais;6380 - Fomento ao Desenvolvimento da Educação Profissional e Tecnológica;3 - Outras Despesas Correntes; R$ 1.646.398,00 
26411 - Instituto Federal do Sudeste de Minas Gerais;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 6.800.923,00 
26413 - Instituto Federal do Triângulo Mineiro;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 3.911.932,00 
26413 - Instituto Federal do Triângulo Mineiro;6380 - Fomento ao Desenvolvimento da Educação Profissional e Tecnológica;3 - Outras Despesas Correntes; R$ 1.027.220,00 
26414 - Instituto Federal do Mato Grosso;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 2.500.923,00 
26416 - Instituto Federal do Pará;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 7.650.922,00 
26417 - Instituto Federal da Paraíba;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;3 - Outras Despesas Correntes; R$ 23.000,00 
26417 - Instituto Federal da Paraíba;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 3.060.949,00 
26419 - Instituto Federal do Rio Grande do Sul;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;3 - Outras Despesas Correntes; R$ -   
26419 - Instituto Federal do Rio Grande do Sul;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 2.457.031,00 
26419 - Instituto Federal do Rio Grande do Sul;6380 - Fomento ao Desenvolvimento da Educação Profissional e Tecnológica;3 - Outras Despesas Correntes; R$ 350.000,00 
26419 - Instituto Federal do Rio Grande do Sul;6380 - Fomento ao Desenvolvimento da Educação Profissional e Tecnológica;4 - Investimentos; R$ 250.000,00 
26420 - Instituto Federal Farroupilha;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 500.000,00 
26421 - Instituto Federal de Rondônia;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 11.700.000,00 
26422 - Instituto Federal Catarinense;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 202.500,00 
26425 - Instituto Federal do Acre;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;3 - Outras Despesas Correntes; R$ 2.330.400,00 
26425 - Instituto Federal do Acre;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 8.670.523,00 
26425 - Instituto Federal do Acre;6380 - Fomento ao Desenvolvimento da Educação Profissional e Tecnológica;3 - Outras Despesas Correntes; R$ 720.000,00 
26426 - Instituto Federal do Amapá;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;3 - Outras Despesas Correntes; R$ 286.108,00 
26426 - Instituto Federal do Amapá;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 4.934.444,00 
26426 - Instituto Federal do Amapá;6380 - Fomento ao Desenvolvimento da Educação Profissional e Tecnológica;3 - Outras Despesas Correntes; R$ 328.550,00 
26427 - Instituto Federal da Bahia;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 5.545.228,00 
26427 - Instituto Federal da Bahia;6380 - Fomento ao Desenvolvimento da Educação Profissional e Tecnológica;3 - Outras Despesas Correntes; R$ 100.000,00 
26427 - Instituto Federal da Bahia;6380 - Fomento ao Desenvolvimento da Educação Profissional e Tecnológica;4 - Investimentos; R$ -   
26428 - Instituto Federal de Brasília;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 3.121.697,00 
26429 - Instituto Federal de Goiás;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 664.517,00 
26430 - Instituto Federal do Sertão Pernambucano;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 2.576.076,00 
26430 - Instituto Federal do Sertão Pernambucano;6380 - Fomento ao Desenvolvimento da Educação Profissional e Tecnológica;3 - Outras Despesas Correntes; R$ 800.000,00 
26431 - Instituto Federal do Piauí;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 2.092.124,00 
26431 - Instituto Federal do Piauí;6380 - Fomento ao Desenvolvimento da Educação Profissional e Tecnológica;3 - Outras Despesas Correntes; R$ 440.000,00 
26432 - Instituto Federal do Paraná;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 2.736.547,00 
26433 - Instituto Federal do Rio de Janeiro;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 32.657.144,00 
26434 - Instituto Federal Fluminense;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;3 - Outras Despesas Correntes; R$ 900.000,00 
26434 - Instituto Federal Fluminense;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 2.600.000,00 
26435 - Instituto Federal do Rio Grande do Norte;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 2.900.923,00 
26436 - Instituto Federal Sul-rio-grandense;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 2.750.923,00 
26437 - Instituto Federal de Roraima;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 3.000.000,00 
26438 - Instituto Federal de Santa Catarina;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 2.000.923,00 
26439 - Instituto Federal de São Paulo;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;3 - Outras Despesas Correntes; R$ 600.000,00 
26439 - Instituto Federal de São Paulo;20RG - Reestruturação e Modernização de Instituições Federais de Educação Profissional e Tecnológica;4 - Investimentos; R$ 33.216.821,00 
